zipcode,crime_count,license_count,population,poverty,density,alcohol_density,crime_density,poverty_rate,log_alcohol_density,log_crime_density,cbrt_pop_density
92078,2793,26,53019,4116,1225.8,0.0004903902374620419,0.05267922820121089,0.0776325468228371,-7.620309080836424,-2.94353405291273,10.702203523240108
92082,1598,6,20678,2130,63.5,0.00029016345874842826,0.07728020117999806,0.10300802785569203,-8.145066142918584,-2.5603174858204185,3.9895560882429013
92083,4651,8,37864,4446,2635.5,0.00021128248468201986,0.12283435453200929,0.11742024086203254,-8.462314529906248,-2.096918542361987,13.812989240330054
92084,4446,11,49971,4595,680.8,0.00022012767405094955,0.08897160353004743,0.09195333293310119,-8.421302843346847,-2.4194380216210756,8.797106486709538
92091,72,2,1288,146,385.4,0.0015527950310559005,0.055900621118012424,0.11335403726708075,-6.467698726104354,-2.8841797876482436,7.2773048833007055
92093,159,2,2044,0,887.7,0.0009784735812133072,0.07778864970645792,0.0,-6.92951677076365,-2.5537597491033637,9.6107085365909
92101,22374,187,46025,7084,3300.8,0.004063009234111896,0.4861271048343292,0.15391634980988594,-5.505831389246692,-0.7212851566944027,14.889258507527476
92102,5879,12,40051,6589,3443.5,0.00029961798706649024,0.14678784549699134,0.16451524306509202,-8.113002271185804,-1.918766962571549,15.100802553721465
92103,6539,57,34296,2682,3593.6,0.001662001399580126,0.1906636342430604,0.07820153953813856,-6.399732740443263,-1.6572444807165372,15.31710107464769
92104,6714,39,46613,4528,4871.3,0.0008366764636474803,0.14403707120331238,0.09714028275373823,-7.086073105036289,-1.9376845736259554,16.951766391794216
92105,9497,9,72688,16721,4876.1,0.0001238168611049967,0.13065430332379485,0.2300379705040722,-8.996707010662965,-2.035200349756232,16.957332446541077
92106,2584,32,20483,1392,1396.3,0.0015622711516867646,0.12615339549870624,0.06795879509837426,-6.4616146500009295,-2.070256687898163,11.17702560928486
92107,3506,25,29435,2561,3757.9,0.0008493290300662477,0.11910990317649058,0.08700526583998641,-7.071063896594161,-2.127708655981182,15.547064716168451
92108,7566,34,24201,2420,2119.7,0.0014049006239411595,0.3126317094334945,0.09999586793934134,-6.567788708988923,-1.1627294284121095,12.84571059021044
92109,10435,79,44009,3667,2233.1,0.0017950873684928082,0.2371105910154741,0.08332386557295099,-6.322701584971353,-1.4392286179270732,13.070816685872169
92110,6979,66,30773,3890,2373.1,0.002144737269684464,0.22678971825951322,0.12640951483443277,-6.1447382190996445,-1.4837320421089184,13.338449425557833
92111,5304,57,47710,5559,2172.6,0.0011947180884510585,0.1111716621253406,0.11651645357367428,-6.729845030675603,-2.196679766644454,12.95169449559892
92113,8375,2,50983,11056,4364.2,3.922876252868603e-05,0.16427044308887276,0.2168565992585764,-10.14610034224528,-1.806241166111958,16.34186236024523
92114,5205,1,66487,8144,3097.2,1.5040534239776197e-05,0.07828598071803511,0.12249011084873734,-11.10476171881173,-2.5473867377626607,14.576606058190512
92115,9956,24,61456,12697,3846.1,0.00039052330122363966,0.16200208279093986,0.20660309815152303,-7.8480229202377405,-1.8201460870982034,15.667758085022871
92116,3624,22,31836,2807,3636.9,0.0006910415881392134,0.11383339615529589,0.08817062445030782,-7.2773105505674245,-2.17301933676287,15.378375225679536
92117,4179,21,54499,5131,2417.8,0.0003853281711591038,0.07668030606066166,0.09414851648654103,-7.861415194135721,-2.5681103694112286,13.421677247550916
92118,416,32,17602,900,883.7,0.00181797523008749,0.023633677991137372,0.05113055334621066,-6.310031908134031,-3.745082550672494,9.596251429982246
92119,1626,6,24419,1562,1436.2,0.0002457103075474016,0.06658749334534583,0.06396658339817356,-8.311357327557214,-2.7092385066775138,11.28249043815736
92120,3157,10,30241,2521,1520.2,0.0003306768956053041,0.10439469594259448,0.08336364538209716,-8.014368805535732,-2.2595764099717863,11.498298424990782
92121,1373,15,4150,747,127.8,0.0036144578313253013,0.3308433734939759,0.18,-5.622813412122534,-1.1061102074567728,5.037057995769087
